week, date, website, count, sadness, contempt, disgust, anger, surprise, fear, happiness, neutral
1,08/02/2015,www.wsj.com,1,0.08563539,0.00351917278,0.09829444,0.0133373337,0.12703298,0.001385715,0.000940122467,0.6698549
1,08/02/2015,www.msnbc.com,2,0.0151591357375,0.000430759911265,0.00109620647394,0.0006946751385,0.153932745507,0.006295029234,0.00018791940695,0.82220355
1,08/02/2015,www.cbsnews.com,3,0.0054678615,0.0145964052,0.00535817437591,0.0740559014287,0.00815915184333,0.00023318891,0.0412612416951,0.850868066667
1,08/02/2015,www.huffingtonpost.com,2,0.0049408606,0.0066283706,0.008488795825,0.4151905568,0.003991015655,0.000243659517,0.000131524867,0.5603852135
1,08/02/2015,www.bloomberg.com,1,0.145601377,0.137082934,0.002518517,0.0164672881,5.49481738e-05,2.19990343e-05,0.00232402,0.695928931
1,08/02/2015,www.washingtonpost.com,1,0.09743467,0.008532425,0.00729130348,0.0289653614,0.0142597454,0.005076315,0.01054048,0.8278997
1,08/02/2015,www.politico.com,1,0.0357313268,0.0108932052,0.168846846,0.300297558,0.2600092,0.0278335977,0.00120161183,0.195186645
1,08/02/2015,www.nbcnews.com,1,0.0003937982,1.87458791e-05,3.00231386e-06,0.000281541725,0.000298017461,1.10156361e-05,3.46295456e-05,0.998959243
2,08/09/2015,www.politico.com,2,0.000403754328,7.691620055e-05,1.923935995e-06,0.000120156333,0.0019977404215,1.43323469e-05,0.0004883402422,0.996896833
2,08/09/2015,www.cnn.com,1,0.000388548826,0.00154282572,0.00559536228,0.0261203647,0.07294705,5.457146e-05,9.020287e-05,0.8932611
2,08/09/2015,www.msnbc.com,2,0.0310434755,0.0129272528,0.04008107865,0.267634049,0.07138577165,0.052498680795,0.0058674650735,0.518562217
2,08/09/2015,www.washingtonpost.com,2,0.00574860997725,0.00474241473419,0.0016721617235,0.01452866785,0.0028517752655,3.21165327516e-05,0.500050441272,0.470373798915
2,08/09/2015,www.nbcnews.com,1,0.00414425,0.1187898,0.00706798444,0.0264573768,0.0302242357,0.00116509746,0.004021582,0.808129668
3,08/16/2015,www.bloomberg.com,1,0.0290739127,0.007246185,0.0108201215,0.0275128745,0.0384382233,0.009157556,0.0107894046,0.8669617
3,08/16/2015,www.nytimes.com,1,0.000286322727,0.00145630678,0.0170031451,0.0112370849,0.000131893161,5.364431e-06,0.8487975,0.121082373
3,08/16/2015,www.nationalreview.com,1,0.0157244243,0.003618622,0.00306775048,0.005093953,0.0114672333,0.00162769516,0.008996083,0.9504042
3,08/16/2015,www.cbsnews.com,1,0.004576846,0.00263735582,0.0916798562,0.375382632,0.103266954,0.000127348423,0.0008208181,0.4215082
3,08/16/2015,www.wsj.com,1,0.00441423152,2.2520253e-06,0.00161895063,0.000335392455,0.00419925433,9.018137e-05,0.9891065,0.000233276442
4,08/23/2015,www.nytimes.com,1,0.005148238,0.0017327721,0.0023519448,0.000451837,0.00626632245,0.000149245912,0.247059464,0.7368402
4,08/23/2015,www.msnbc.com,1,0.000393594615,0.00111522991,7.75089939e-05,0.0007354634,0.000118492717,3.12269634e-07,0.00254426547,0.995015144
4,08/23/2015,www.huffingtonpost.com,1,0.0377007872,0.00289410772,0.00712042442,0.00269876281,0.02288955,0.00198510964,0.2660069,0.65870434
5,08/30/2015,www.wsj.com,1,0.000246382959,0.000531108759,0.0006506499,8.70648655e-05,5.181267e-06,1.76627282e-07,0.9734201,0.0250593722
5,08/30/2015,www.cnn.com,1,0.00749322632,0.006735808,0.0120639363,0.00167135266,0.000140902281,5.726575e-05,0.9200001,0.0518374555
5,08/30/2015,www.nationalreview.com,1,0.00141887763,0.000406621082,0.0127115157,0.184573069,0.426752031,0.0008989884,0.0007883563,0.372450531
5,08/30/2015,www.huffingtonpost.com,1,0.0133307762,0.00671318546,0.01370024,0.059767928,0.02595808,0.0006899581,0.0009322864,0.878907561
5,08/30/2015,www.nbcnews.com,2,0.002452639732,0.000152336077,0.0001633549865,0.00022639525915,0.00274658811805,6.78559718886e-05,0.9537201295,0.0404707007
6,09/06/2015,www.wsj.com,1,0.0118635818,0.00177991821,0.00154044526,0.00563746644,0.0322173871,0.000288486219,0.00132686191,0.9453459
6,09/06/2015,www.cnn.com,1,2.69981228e-06,0.00186589314,5.072468e-07,9.897291e-08,1.37246377e-06,3.14491744e-09,0.9938357,0.0042937547
6,09/06/2015,www.msnbc.com,2,0.0002339215005,2.573114575e-05,0.00140188073229,0.00012240486625,1.1584576e-05,8.477026075e-07,0.495039643106,0.503163961
6,09/06/2015,www.huffingtonpost.com,2,0.002121331735,0.005245955695,0.00096313728,0.014988931273,0.00073104031025,9.8270090965e-05,0.491834702027,0.48401664715
6,09/06/2015,www.washingtonpost.com,1,0.0239657443,0.00329356967,0.0124358851,0.0143701993,0.005501549,0.0006810128,0.779220045,0.160532013
6,09/06/2015,www.politico.com,1,0.01944358,0.00816081,0.0005326507,0.0002081296,0.000131554683,3.6065343e-05,0.7924709,0.179016367
6,09/06/2015,www.nbcnews.com,1,0.00730524957,0.00115416315,0.00426811,0.0274991412,0.0305155944,0.0006076261,5.425974e-05,0.928595841
7,09/13/2015,www.wsj.com,1,0.241423845,0.0468076132,0.0174327251,0.03105527,0.0007408537,0.0007873857,0.0029728692,0.658779442
7,09/13/2015,www.cnn.com,1,0.04083254,0.005261193,0.0560613833,0.134694636,0.36548385,0.00363254524,0.02570664,0.3683272
7,09/13/2015,www.msnbc.com,2,0.001549075184,0.004386807675,0.01815574524,0.083175370685,0.0361788742375,0.000106312465873,0.30689870115,0.549549089
7,09/13/2015,www.cbsnews.com,4,0.010102578407,0.0198078472722,0.00932590647592,0.0588239253971,0.0735978390043,0.000317868602292,0.271668997817,0.55635504596
7,09/13/2015,www.huffingtonpost.com,1,0.0134925861,0.002577046,0.0154192625,0.0205161329,0.0224366076,0.000238008768,0.00182221143,0.923498154
7,09/13/2015,www.bloomberg.com,2,0.005373838825,0.01880558382,0.0024132532,0.006681606614,0.01159018785,0.0001565679315,0.3947999913,0.5601789815
7,09/13/2015,www.washingtonpost.com,2,0.0189776379,0.0023964442255,0.003508475415,0.01445706775,0.154560408165,0.039975302086,0.00288609334,0.763238569
7,09/13/2015,www.nationalreview.com,1,0.00193287409,0.0003916497,0.05452728,0.4932398,0.343353122,0.0006328189,0.0006732289,0.105249219
7,09/13/2015,www.nbcnews.com,2,0.1643033925,0.0565078525,0.04502642,0.107493021,0.109867006318,0.010229671272,0.00318244163,0.5033901795
8,09/20/2015,www.politico.com,1,0.0270562358,0.0002436133,0.0188555587,0.4436336,0.372380018,0.0138793578,0.0203663446,0.103585288
8,09/20/2015,www.economist.com,1,0.00159981835,0.00276921457,0.0264817383,0.02398992,0.109923504,0.000201856674,0.309923857,0.525110066
8,09/20/2015,www.bloomberg.com,1,0.0135040972,0.0111011146,0.00757582,0.008331909,0.0104310485,0.000549781136,0.392549843,0.555956364
8,09/20/2015,www.washingtonpost.com,1,1.02411259e-05,5.325569e-05,0.00021462822,2.49036129e-05,0.000268875679,1.40029192e-06,0.9954637,0.003962964
8,09/20/2015,www.nbcnews.com,1,0.00369581929,0.002553772,0.0130240442,0.0480747856,0.118366815,0.000236386855,0.00664779451,0.8074006
9,09/27/2015,www.huffingtonpost.com,1,0.127517581,0.001139047,0.0527154058,0.2057742,0.279436052,0.00141339423,0.06295324,0.269051075
9,09/27/2015,www.msnbc.com,4,0.055335200435,0.007682309315,0.00195201135725,0.0244430581,0.0147593981175,0.00127100844642,0.02623798267,0.86831905025
9,09/27/2015,www.washingtonpost.com,1,0.00350399921,1.03424527e-05,0.00058806967,0.00134247425,0.0001071551,7.725998e-06,0.9917679,0.002672371
10,10/04/2015,www.cnn.com,1,0.0196191221,0.000442361576,0.03432437,0.39298743,0.244939268,0.00171888515,0.0202427879,0.285725772
10,10/04/2015,www.msnbc.com,1,0.008534789,0.01086297,0.00133632543,0.00619471259,0.000351474184,6.26541123e-06,0.00176541379,0.97094804
10,10/04/2015,www.nytimes.com,1,0.042879533,0.00226759817,0.000591445831,0.0148395449,5.752421e-05,1.00741681e-05,9.885673e-05,0.9392554
10,10/04/2015,www.washingtonpost.com,3,0.00416011747667,0.00310662518333,0.0208190905333,0.192541012483,0.1921902376,0.000746402600333,0.00155258541667,0.584883940333
